,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
11533,26.0,0.391,0.585,372880.0,0.6920000000000001,0.00594,B,0.348,-8.45,minor,0.0388,162.006,0.6729999999999999,jazz
38383,70.0,0.024,0.362,153840.0,0.961,9.35e-06,D,0.159,-5.664,major,0.0857,164.019,0.491,rock
28435,58.0,0.22,0.7809999999999999,224707.0,0.619,0.0,G,0.1119999999999999,-6.6160000000000005,major,0.0882,82.954,0.391,rap
18293,48.0,0.0843,0.79,114984.0,0.494,0.8320000000000001,B,0.1159999999999999,-11.186,minor,0.1159999999999999,83.631,0.508,alternative
20075,39.0,0.552,0.62,-1.0,0.254,0.00242,G,0.546,-15.383,major,0.0277,111.806,0.815,country
97,27.0,0.0108,0.489,254453.0,0.7759999999999999,0.135,A,0.273,-6.087999999999999,major,0.0351,75.516,0.436,electronic
35359,54.0,0.0399,0.575,177960.0,0.985,0.0,D,0.166,-1.038,minor,0.0743,119.95296059529068,0.476,rock
18641,44.0,0.00291,0.294,200920.0,0.775,0.000727,E,0.254,-4.271,minor,0.0454,131.092,0.471,alternative
32346,35.0,0.604,0.591,262573.0,0.5539999999999999,0.00294,C,0.255,-8.872,major,0.0328,92.871,0.473,blues
21966,51.0,0.00573,0.5710000000000001,232025.0,0.746,0.0,E,0.0766,-5.244,major,0.03,148.05200000000002,0.476,country
29015,86.0,0.172,0.441,187298.0,0.527,0.0,D#,0.233,-5.318,major,0.0966,96.37,0.589,rap
12172,28.0,0.426,0.644,-1.0,0.495,0.0475,E,0.0515,-12.119000000000002,minor,0.0373,88.07,0.616,jazz
20186,61.0,0.054,0.6509999999999999,-1.0,0.8079999999999999,0.0,C#,0.0482,-4.731,minor,0.0435,100.993,0.858,country
24642,39.0,0.0222,0.596,217960.0,0.892,0.00198,G,0.0973,-3.62,major,0.0404,103.013,0.4529999999999999,country
23304,53.0,0.0509,0.629,184987.0,0.87,0.0,A,0.447,-4.765,major,0.0468,144.989,0.745,country
39257,65.0,0.0315,0.505,-1.0,0.911,1.83e-05,A#,0.0745,-3.006,minor,0.0624,81.978,0.281,rock
36241,53.0,0.114,0.742,-1.0,0.763,0.0,B,0.319,-6.256,minor,0.0828,100.108,0.821,rock
31239,34.0,0.649,0.526,-1.0,0.176,0.000181,C,0.0923,-17.473,major,0.0314,79.921,0.605,blues
2109,25.0,0.0643,0.7709999999999999,256667.0,0.873,0.0195,C#,0.109,-6.792999999999999,major,0.046,144.017,0.777,electronic
24472,51.0,0.0093099999999999,0.612,336360.0,0.6629999999999999,0.0152,C#,0.0637,-9.314,major,0.035,100.178,0.5579999999999999,country
14686,43.0,0.1939999999999999,0.312,288627.0,0.481,0.852,D,0.0829,-11.128,minor,0.033,137.851,0.0778,jazz
31455,26.0,0.0208,0.6579999999999999,304847.0,0.792,0.012,D,0.075,-8.668,major,0.0381,126.508,0.42,blues
44463,37.0,0.989,0.45,274400.0,0.0827,0.951,D,0.1009999999999999,-18.629,major,0.0822,81.535,0.424,classical
46621,49.0,0.0195,0.7020000000000001,224067.0,0.545,0.0,A,0.282,-8.491,major,0.0707,120.008,0.302,hip-hop
49001,49.0,0.733,0.727,-1.0,0.4639999999999999,2.33e-06,G#,0.102,-9.634,major,0.0602,85.99700000000001,0.222,hip-hop
48011,58.0,0.11,0.818,-1.0,0.655,0.0,A#,0.0754,-7.68,minor,0.253,95.443,0.82,hip-hop
18770,44.0,0.0174,0.315,143232.0,0.483,0.5,B,0.133,-10.1,minor,0.1,71.234,0.649,alternative
16581,49.0,0.0162,0.5479999999999999,276013.0,0.947,0.0,F,0.18,-4.959,major,0.0779,135.813,0.416,alternative
16669,48.0,0.2289999999999999,0.5660000000000001,279240.0,0.479,0.0038799999999999,F,0.357,-11.128,major,0.0254,109.748,0.28,alternative
41468,38.0,0.898,0.2239999999999999,159920.0,0.0146,7.77e-06,A#,0.174,-31.031,major,0.0342,90.886,0.0384,classical
15401,42.0,0.000959,0.516,261067.0,0.738,4.89e-05,F#,0.18,-4.45,major,0.0328,82.071,0.342,alternative
16351,48.0,0.1889999999999999,0.512,304427.0,0.5429999999999999,0.000649,G,0.3229999999999999,-6.857,major,0.0343,114.965,0.236,alternative
17608,42.0,0.127,0.61,176920.0,0.914,0.258,B,0.34,-4.158,minor,0.0397,168.071,0.74,alternative
15776,40.0,0.0429,0.8009999999999999,214907.0,0.608,0.00516,A,0.166,-4.332,minor,0.0299,120.015,0.6559999999999999,alternative
17506,53.0,0.645,0.828,208329.0,0.6679999999999999,0.0,C,0.165,-8.248,major,0.196,129.981,0.598,alternative
39197,59.0,0.00933,0.6509999999999999,267827.0,0.866,0.0,C#,0.113,-3.831,major,0.0584,113.945,0.8009999999999999,rock
222,39.0,0.107,0.58,403693.0,0.612,0.0365,G#,0.226,-11.630999999999998,major,0.0735,124.022,0.555,electronic
43238,47.0,0.8029999999999999,0.193,251173.0,0.00709,0.208,G,0.0981,-33.602,minor,0.0436,94.681,0.037,classical
46445,59.0,0.645,0.782,-1.0,0.561,0.0,G,0.1119999999999999,-6.031000000000001,major,0.0493,92.039,0.6629999999999999,hip-hop
74,43.0,0.581,0.515,287227.0,0.574,0.575,E,0.185,-9.8,major,0.0279999999999999,136.993,0.2739999999999999,electronic
63,32.0,0.0151,0.728,248276.0,0.902,0.00144,C#,0.361,-0.643,major,0.1969999999999999,145.043,0.22,electronic
33278,38.0,0.000341,0.206,208533.0,0.962,0.0,D,0.0877,-3.912,major,0.1639999999999999,153.755,0.292,blues
19973,49.0,0.00915,0.667,265733.0,0.721,0.0137,G,0.105,-7.17,major,0.0329,110.094,0.5670000000000001,alternative
46485,56.0,0.2019999999999999,0.8009999999999999,241720.0,0.47,0.562,C#,0.114,-8.954,major,0.377,159.987,0.413,hip-hop
10666,36.0,0.735,0.748,-1.0,0.225,0.888,C,0.0866,-15.639,minor,0.04,119.95296059529068,0.408,jazz
46481,54.0,0.0955,0.496,284099.0,0.56,0.0,A,0.15,-7.702000000000001,major,0.418,119.95296059529068,0.441,hip-hop
11763,37.0,0.295,0.376,326533.0,0.537,0.122,D,0.774,-9.309,minor,0.033,89.855,0.2269999999999999,jazz
32327,35.0,0.00422,0.417,260827.0,0.737,0.00025,E,0.0657,-4.905,major,0.0617,84.92200000000001,0.5529999999999999,blues
39062,58.0,0.163,0.4,324267.0,0.5579999999999999,3.76e-06,D#,0.0879,-7.393,major,0.038,81.271,0.376,rock
45259,63.0,0.00392,0.893,198856.0,0.633,0.0,G,0.134,-6.436,major,0.1939999999999999,92.519,0.772,hip-hop
16874,47.0,0.364,0.358,401227.0,0.3289999999999999,0.00265,C,0.1369999999999999,-11.781,minor,0.0298,145.04,0.141,alternative
48027,54.0,0.0523,0.767,157037.0,0.601,0.155,F,0.165,-8.033,minor,0.1639999999999999,163.037,0.292,hip-hop
27170,58.0,0.4529999999999999,0.901,279707.0,0.283,0.000111,F#,0.0858,-10.156,minor,0.0769,119.95296059529068,0.3329999999999999,rap
997,43.0,0.0078599999999999,0.488,304733.0,0.68,0.551,G#,0.192,-8.414,major,0.0308,158.065,0.7609999999999999,electronic
45365,54.0,0.0388,0.79,175200.0,0.654,0.0,A#,0.125,-5.568,minor,0.226,136.938,0.515,hip-hop
43213,0.0,0.946,0.0619,713893.0,0.00482,0.594,C#,0.0815,-33.105,major,0.0503,68.14399999999999,0.036,classical
27894,64.0,0.284,0.698,247688.0,0.7070000000000001,0.0,A,0.177,-3.778,minor,0.114,155.009,0.413,rap
28169,72.0,0.00221,0.8440000000000001,203897.0,0.52,0.00122,F,0.7,-10.626,minor,0.5329999999999999,149.995,0.289,rap
42188,38.0,0.994,0.324,288827.0,0.00983,0.856,E,0.086,-31.282,major,0.0422,70.62899999999999,0.0392,classical
39438,69.0,0.0465,0.43,356627.0,0.767,0.000112,F#,0.142,-8.561,major,0.042,120.353,0.409,rock
8934,26.0,0.0153,0.773,234467.0,0.631,0.0,F,0.0824,-5.696000000000001,minor,0.0409,111.017,0.826,anime
26184,64.0,0.00482,0.6679999999999999,248213.0,0.828,7.89e-06,C#,0.1889999999999999,-4.009,major,0.0651,134.942,0.357,rap
40187,32.0,0.975,0.44,-1.0,0.236,0.883,G,0.187,-13.204,major,0.0297,102.115,0.233,classical
35788,65.0,0.00796,0.4629999999999999,-1.0,0.7490000000000001,0.0021899999999999,B,0.0558,-8.118,minor,0.0891,183.048,0.888,rock
40618,35.0,0.994,0.3379999999999999,273973.0,0.0438,0.8909999999999999,G,0.0575,-26.635,major,0.0504,56.896,0.25,classical
15924,52.0,0.0073599999999999,0.3389999999999999,-1.0,0.8290000000000001,1.26e-05,A,0.0596,-7.239,major,0.0579999999999999,162.798,0.5,alternative
47780,52.0,0.36,0.81,267600.0,0.609,0.0,D,0.157,-9.63,major,0.359,91.117,0.382,hip-hop
16045,45.0,0.000923,0.331,181707.0,0.959,4.6e-06,F#,0.292,-4.979,major,0.0703,133.69,0.318,alternative
38784,51.0,0.495,0.516,202333.0,0.489,0.000403,D,0.5720000000000001,-15.339,major,0.0443,128.485,0.84,rock
35787,53.0,0.00629,0.603,206963.0,0.825,2.9e-06,A#,0.136,-3.587,minor,0.0288,96.028,0.415,rock
30072,43.0,0.0745,0.584,186533.0,0.6709999999999999,0.485,B,0.139,-7.066,minor,0.027,78.72,0.2769999999999999,blues
2031,32.0,0.0353,0.563,163304.0,0.871,0.775,F#,0.135,-5.266,minor,0.0584,149.939,0.506,electronic
46559,57.0,0.37,0.623,217440.0,0.785,0.00494,D,0.413,-6.479,major,0.247,75.056,0.476,hip-hop
42856,46.0,0.996,0.471,121120.0,0.0177,0.914,G#,0.108,-34.667,major,0.0542,68.814,0.168,classical
11128,38.0,0.759,0.634,214213.0,0.6759999999999999,0.0,A#,0.3229999999999999,-4.586,major,0.0475,164.666,0.966,jazz
9464,22.0,0.00546,0.484,297000.0,0.967,0.0,G,0.354,-4.106,major,0.261,99.987,0.352,anime
43676,29.0,0.987,0.286,351800.0,0.2239999999999999,0.873,A,0.109,-22.984,minor,0.0374,126.256,0.469,classical
5064,22.0,0.985,0.325,114000.0,0.0308,0.272,G,0.218,-19.84,major,0.0506,73.984,0.0388,anime
20745,37.0,0.728,0.713,196896.0,0.367,0.0,G,0.089,-8.675,major,0.0466,90.00200000000001,0.626,country
27844,56.0,0.0333,0.7440000000000001,213533.0,0.633,0.0,D,0.144,-7.732,major,0.113,120.011,0.5489999999999999,rap
17470,45.0,0.000249,0.424,281693.0,0.997,0.0139999999999999,G,0.326,-1.501,major,0.131,131.424,0.123,alternative
47536,50.0,0.0598,0.875,183293.0,0.435,3.66e-05,A#,0.0949,-8.516,minor,0.0379,83.79799999999999,0.845,hip-hop
22169,64.0,0.282,0.536,-1.0,0.65,1.16e-06,D,0.0876,-5.603,major,0.0337,147.93,0.288,country
213,60.0,0.013,0.708,155840.0,0.8270000000000001,1.49e-05,C,0.504,-4.591,minor,0.0453,120.015,0.367,electronic
20589,75.0,0.642,0.518,216533.0,0.401,0.000185,A,0.118,-7.582999999999999,minor,0.0284,92.148,0.171,country
28866,55.0,0.741,0.4629999999999999,203173.0,0.609,0.000294,D,0.115,-11.105,minor,0.171,107.975,0.409,rap
15400,41.0,0.0227,0.626,-1.0,0.619,2.36e-05,B,0.185,-7.246,major,0.0263,120.045,0.251,alternative
45012,60.0,0.296,0.782,271720.0,0.727,0.0,D#,0.0972,-6.074,minor,0.0519,119.95296059529068,0.3979999999999999,hip-hop
15127,48.0,0.321,0.6759999999999999,193908.0,0.561,0.000156,D#,0.321,-7.066,minor,0.0807,130.129,0.475,alternative
10149,30.0,0.0469,0.544,287680.0,0.7170000000000001,0.0517,E,0.0508,-9.712,minor,0.0438,170.43900000000002,0.598,jazz
44019,30.0,0.772,0.0962,92627.0,0.12,0.921,E,0.103,-19.577,major,0.0396,119.95296059529068,0.2239999999999999,classical
28141,56.0,0.242,0.664,269467.0,0.74,0.0,A#,0.272,-6.478,minor,0.0759,123.998,0.4,rap
19242,50.0,0.0122,0.387,369040.0,0.674,0.0129,C,0.102,-6.622999999999999,major,0.0597,139.751,0.2769999999999999,alternative
45997,48.0,0.0469,0.693,239533.0,0.905,0.0,C,0.268,-8.701,major,0.303,82.911,0.8320000000000001,hip-hop
16508,41.0,0.0289,0.715,157440.0,0.5820000000000001,0.0,C#,0.0662,-7.602,major,0.0882,75.032,0.574,alternative
27587,58.0,0.0246,0.8240000000000001,177872.0,0.747,0.0,G#,0.1169999999999999,-4.593999999999999,minor,0.373,149.018,0.498,rap
39442,55.0,0.0132,0.421,299960.0,0.727,0.565,G#,0.223,-8.273,minor,0.0365,112.603,0.486,rock
25106,73.0,0.0522,0.862,301520.0,0.479,0.00126,G,0.589,-9.199,major,0.0646,109.878,0.925,rap
47578,50.0,0.0256,0.7340000000000001,139157.0,0.63,0.0,C#,0.124,-6.509,major,0.177,154.851,0.319,hip-hop
36343,53.0,0.634,0.608,168027.0,0.178,0.352,D,0.166,-17.109,major,0.0264,84.78,0.401,rock
42363,2.0,0.972,0.353,205360.0,0.0848,0.0,D,0.574,-22.19,major,0.0793,71.942,0.111,classical
5302,38.0,0.00606,0.508,424693.0,0.68,0.0,B,0.119,-4.03,major,0.0253,119.95296059529068,0.247,anime
33123,48.0,0.5489999999999999,0.735,-1.0,0.276,0.0002009999999999,C,0.1,-18.071,major,0.044,142.97899999999998,0.966,blues
4085,39.0,0.374,0.5,191000.0,0.8,0.809,A#,0.178,-10.453,major,0.055,107.406,0.603,electronic
10150,38.0,0.79,0.3979999999999999,181187.0,0.216,0.0,G#,0.33,-15.654000000000002,major,0.0361,119.95296059529068,0.337,jazz
20774,39.0,0.0479,0.418,217880.0,0.8759999999999999,3.65e-06,D#,0.0862,-4.694,minor,0.0321,194.017,0.636,country
41395,28.0,0.906,0.285,458667.0,0.135,0.494,G#,0.0615,-16.825,minor,0.0444,98.123,0.0569,classical
9213,23.0,0.995,0.351,90120.0,0.00926,0.85,G,0.361,-30.641,major,0.0439,80.012,0.532,anime
41891,32.0,0.985,0.151,154400.0,0.2269999999999999,0.981,G,0.103,-16.3,major,0.049,89.29,0.038,classical
